config,description,RMSE_delta0_mean,RMSE_delta0_sd,RMSE_delta100_mean,RMSE_delta100_sd,RMSE_delta500_mean,RMSE_delta500_sd,FDE_delta100_mean,FDE_delta100_sd,FDE_delta500_mean,FDE_delta500_sd,lock_loss_delta500_pct,p99_tick_latency_ms
B1,"UKF (no replay, no IMM)",1.8,0.3,8.4,1.2,>50,—,4.2,0.8,div.,—,92,0.8
B3,IMM-UKF (no replay),1.5,0.2,6.2,0.9,>50,—,3.5,0.6,div.,—,87,1.2
B4,IMM-UKF + Replay,1.4,0.2,2.3,0.4,4.7,0.8,2.1,0.3,4.1,0.7,5,2.3
B6,IMM-UKF + Replay + Acoustic Cueing,1.4,0.2,2.2,0.3,4.5,0.7,2.0,0.3,3.8,0.6,3,2.4
Ours,Full pipeline (B6 + Modality Switching),1.2,0.2,1.8,0.3,3.9,0.6,1.6,0.2,3.2,0.5,0,2.5
