scenario_id,scenario_name,primary_stress,range_band,trial_id,config,RMSE_3D_m,FDE_0p3s_m,lock_loss_binary,TFTL_s,cueing_success_binary,modality_switches,p99_tick_latency_ms,notes
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,10,B6,1.571,1.295,0,0.172,1,0,2.509,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,10,Ours,1.257,0.993,0,0.174,1,1,2.503,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,11,B1,2.006,1.748,1,,,0,0.825,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,11,B3,1.496,1.239,1,,,0,1.132,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,11,B4,1.439,1.3,0,0.733,,0,2.335,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,11,B6,1.579,1.289,0,0.175,1,0,2.348,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,11,Ours,1.232,1.077,0,0.207,1,1,2.526,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,12,B1,1.453,1.275,1,,,0,0.84,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,12,B3,1.538,1.221,1,,,0,1.297,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,12,B4,1.417,1.24,0,0.763,,0,2.252,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,12,B6,1.433,1.222,0,0.209,1,0,2.432,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,12,Ours,1.497,1.293,0,0.22,1,2,2.399,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,13,B1,1.643,1.203,0,,,0,0.742,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,13,B3,1.499,1.254,1,,,0,1.207,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,13,B4,1.33,1.159,0,1.066,,0,2.277,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,13,B6,0.941,0.66,0,0.193,1,0,2.365,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,13,Ours,1.208,0.878,0,0.211,1,3,2.484,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,14,B1,2.08,1.463,1,,,0,0.763,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,14,B3,1.608,1.365,1,,,0,1.218,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,14,B4,1.091,0.898,0,0.902,,0,2.286,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,14,B6,1.536,1.3,0,0.206,1,0,2.301,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,14,Ours,1.563,1.283,0,0.223,1,2,2.52,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,15,B1,1.478,1.092,1,,,0,0.691,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,15,B3,1.343,0.958,1,,,0,1.229,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,15,B4,1.684,1.358,0,0.962,,0,2.353,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,15,B6,1.312,1.062,0,0.219,1,0,2.371,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,15,Ours,1.304,0.967,0,0.184,1,2,2.498,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,16,B1,1.813,1.614,1,,,0,0.853,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,16,B3,1.374,1.271,1,,,0,1.131,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,16,B4,1.454,1.092,0,0.733,,0,2.295,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,16,B6,1.364,1.201,0,0.223,1,0,2.4,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,16,Ours,1.039,0.83,0,0.179,1,1,2.485,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,17,B1,1.998,1.629,1,,,0,0.832,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,17,B3,1.318,1.034,0,,,0,1.251,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,17,B4,0.94,0.973,0,0.87,,0,2.277,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,17,B6,1.506,1.224,0,0.195,1,0,2.42,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,17,Ours,1.52,1.375,0,0.225,0,1,2.58,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,18,B1,1.101,0.953,1,,,0,0.774,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,18,B3,1.195,1.097,1,,,0,1.122,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,18,B4,1.266,1.098,0,0.911,,0,2.199,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,18,B6,1.477,1.22,0,0.261,1,0,2.318,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,18,Ours,1.125,0.941,0,0.215,1,1,2.461,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,19,B1,2.262,1.905,1,,,0,0.78,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,19,B3,1.589,1.177,1,,,0,1.187,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,19,B4,1.441,1.217,0,0.851,,0,2.275,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,19,B6,1.5,1.201,0,0.2,1,0,2.438,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,19,Ours,1.33,0.888,0,0.212,1,3,2.545,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,20,B1,1.59,1.548,1,,,0,0.759,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,20,B3,1.551,1.468,1,,,0,1.2,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,20,B4,1.254,1.093,0,0.894,,0,2.29,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,20,B6,1.502,1.143,1,0.223,0,0,2.335,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,20,Ours,1.452,1.103,0,0.228,1,2,2.45,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,21,B1,1.834,1.568,1,,,0,0.803,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,21,B3,1.116,0.892,1,,,0,1.175,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,21,B4,1.359,1.094,0,0.984,,0,2.31,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,21,B6,1.712,1.565,0,0.188,1,0,2.417,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,21,Ours,1.323,1.018,0,0.198,1,2,2.53,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,22,B1,2.021,1.64,1,,,0,0.819,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,22,B3,1.262,1.184,1,,,0,1.238,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,22,B4,1.26,0.899,0,0.965,,0,2.247,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,22,B6,1.577,1.347,0,0.214,1,0,2.434,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,22,Ours,1.187,1.071,0,0.179,1,3,2.554,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,23,B1,2.059,1.603,1,,,0,0.803,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,23,B3,1.58,1.394,1,,,0,1.102,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,23,B4,1.303,1.099,0,0.865,,0,2.355,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,23,B6,1.759,1.563,0,0.171,1,0,2.421,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,23,Ours,1.377,1.094,0,0.212,1,2,2.543,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,24,B1,1.323,0.927,1,,,0,0.787,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,24,B3,1.353,1.041,1,,,0,1.212,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,24,B4,1.6,1.3,0,0.88,,0,2.286,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,24,B6,1.311,1.334,0,0.204,1,0,2.38,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,24,Ours,0.893,0.528,0,0.17,1,1,2.63,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,25,B1,2.218,1.89,1,,,0,0.821,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,25,B3,1.944,1.567,0,,,0,1.225,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,25,B4,1.815,1.492,0,0.947,,0,2.328,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,25,B6,1.541,1.395,1,0.235,1,0,2.408,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,25,Ours,1.15,0.999,0,0.199,1,2,2.439,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,26,B1,1.557,1.307,1,,,0,0.766,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,26,B3,1.547,1.148,0,,,0,1.147,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,26,B4,1.304,0.998,0,1.22,,0,2.335,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,26,B6,1.527,1.166,0,0.195,1,0,2.347,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,26,Ours,1.155,0.998,0,0.181,1,2,2.453,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,27,B1,2.132,1.744,1,,,0,0.782,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,27,B3,1.437,1.12,1,,,0,1.107,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,27,B4,1.44,1.022,0,0.838,,0,2.311,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,27,B6,1.278,1.141,0,0.217,1,0,2.43,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,27,Ours,1.127,0.965,0,0.234,1,1,2.539,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,28,B1,1.791,1.372,1,,,0,0.916,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,28,B3,1.707,1.262,1,,,0,1.172,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,28,B4,1.75,1.265,0,0.925,,0,2.292,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,28,B6,1.357,1.197,0,0.188,1,0,2.399,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,28,Ours,1.296,0.987,0,0.212,1,2,2.527,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,29,B1,2.212,1.59,1,,,0,0.746,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,29,B3,1.289,1.284,1,,,0,1.219,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,29,B4,1.386,1.199,0,0.87,,0,2.342,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,29,B6,1.824,1.503,0,0.191,1,0,2.416,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,29,Ours,1.493,1.256,0,0.184,1,3,2.522,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,30,B1,1.51,1.451,1,,,0,0.822,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,30,B3,1.412,1.159,1,,,0,1.184,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,30,B4,1.193,1.015,0,0.846,,0,2.318,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,30,B6,1.207,0.983,0,0.188,1,0,2.34,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,30,Ours,1.154,1.012,0,0.213,1,1,2.511,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,31,B1,1.82,1.41,1,,,0,0.747,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,31,B3,1.504,1.318,1,,,0,1.245,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,31,B4,1.109,0.856,0,0.782,,0,2.35,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,31,B6,1.185,1.015,0,0.192,1,0,2.449,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,31,Ours,1.105,0.843,0,0.212,1,2,2.494,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,32,B1,2.099,1.526,1,,,0,0.821,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,32,B3,1.361,1.012,1,,,0,1.168,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,32,B4,1.329,1.175,0,0.953,,0,2.352,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,32,B6,1.589,1.382,0,0.181,1,0,2.465,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,32,Ours,1.253,0.96,0,0.209,1,3,2.564,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,33,B1,2.391,2.073,1,,,0,0.737,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,33,B3,1.565,1.151,0,,,0,1.164,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,33,B4,1.016,0.604,0,0.977,,0,2.292,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,33,B6,1.18,1.01,0,0.208,1,0,2.336,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,33,Ours,1.379,1.181,0,0.189,1,1,2.53,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,34,B1,1.559,1.2,1,,,0,0.717,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,34,B3,1.367,1.207,1,,,0,1.167,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,34,B4,1.293,0.988,0,0.919,,0,2.315,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,34,B6,1.758,1.571,0,0.195,1,0,2.342,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,34,Ours,1.203,1.094,0,0.188,1,2,2.496,
S1,Straight approach,CV; increasing acoustic delay,near_100_300m,35,B1,1.446,1.298,1,,,0,0.867,
